Title,Company Name,Link
Senior Data Analyst - Logistics,GO-JEK,https://id.indeed.com/cmp/Pt.-Go--jek-Indonesia-2
Data Scientist - GoPay,GO-JEK,https://id.indeed.com/cmp/Pt.-Go--jek-Indonesia-2
QA Engineer - KG Media,Kompas Gramedia,https://id.indeed.com/cmp/Kompas-Gramedia-Group
Technology Consulting Junior Consultant,EY,https://id.indeed.com/cmp/Ey
OPERATION ENGINEER,PT. Kwadran Lima Mitra Kaya Solusi,Link Tidak Ditemukan
Software Engineer Freelance - HR Information System,Kompas Gramedia,https://id.indeed.com/cmp/Kompas-Gramedia-Group
Software Quality Assurance Intern,Shopee,https://id.indeed.com/cmp/Shopee
ITIFS06 - Midrange System Operation Engineer,PT Bank Mandiri (Persero) Tbk.,https://id.indeed.com/cmp/PT-Bank-Mandiri-(persero)-Tbk
Business Intelligence,Shipper,Link Tidak Ditemukan
Data Analyst,Stampindo Lancar Jaya PT,Link Tidak Ditemukan
Data - Business Intelligence,Shopee,https://id.indeed.com/cmp/Shopee
Impact Analyst,Wikimedia Foundation,Link Tidak Ditemukan
Data Analyst,LIF,Link Tidak Ditemukan
Business Intelligence,Shopee,https://id.indeed.com/cmp/Shopee
Senior Data Analyst - CRM,GO-JEK,https://id.indeed.com/cmp/Pt.-Go--jek-Indonesia-2
Data Engineer - KG Media,Kompas Gramedia,https://id.indeed.com/cmp/Kompas-Gramedia-Group
Python Developer,NTT INDONESIA TECHNOLOGY,Link Tidak Ditemukan
Data Engineer (Enterprise BI),GO-JEK,https://id.indeed.com/cmp/Pt.-Go--jek-Indonesia-2
Back End Engineer - CITIS,Kompas Gramedia,https://id.indeed.com/cmp/Kompas-Gramedia-Group
Data Analytics & AI,PT Asuransi Jiwa IFG (IFG Life),Link Tidak Ditemukan
"Analytical Consultant, Large Customer Sales (English, Bahasa...",Google,https://id.indeed.com/cmp/Google
DeFi Analyst,NOBI,Link Tidak Ditemukan
Data Engineer and Analytics,FinAccel,Link Tidak Ditemukan
